"Ingredient","Name of the recipe","Instructions"
"Pork belly, coconut milk, shrimp paste, chili peppers, onions, garlic, ginger","Bicol Express","Cut pork belly into strips. Sauté garlic, onions, and ginger. Add pork and cook until browned. Add shrimp paste and chili peppers. Pour coconut milk and simmer until thick. Season with salt and pepper."
"Taro leaves, coconut milk, pork or shrimp, chili peppers, onions, garlic, ginger","Laing","Clean taro leaves and remove stems. Sauté garlic, onions, and ginger. Add pork/shrimp and cook. Add taro leaves and coconut milk. Add chili peppers. Simmer until leaves are tender."
"Pork, coconut milk, string beans, squash, chili peppers, onions, garlic","Pinangat na Baboy","Cut pork into cubes. Sauté garlic and onions. Add pork and brown. Add vegetables and coconut milk. Add chili peppers. Simmer until meat is tender and sauce is thick."
"Fish, coconut milk, kamote leaves, chili peppers, onions, garlic, ginger","Pinangat na Isda","Clean fish and cut into pieces. Sauté garlic, onions, ginger. Add fish and lightly fry. Add coconut milk and chili peppers. Add kamote leaves. Simmer until fish is cooked."
"Pork belly, soy sauce, vinegar, garlic, bay leaves, peppercorns, sugar","Adobo","Cut pork into cubes. Marinate in soy sauce and vinegar for 30 minutes. Sauté garlic until golden. Add pork and marinate. Add bay leaves and peppercorns. Simmer until tender."
"Chicken, soy sauce, vinegar, garlic, bay leaves, peppercorns, potatoes","Chicken Adobo","Cut chicken into pieces. Marinate in soy sauce and vinegar. Sauté garlic. Add chicken and marinate. Add bay leaves, peppercorns, and potatoes. Simmer until chicken is tender."
"Pork belly, liver, tomato sauce, bell peppers, onions, garlic, soy sauce","Menudo","Cut pork belly into cubes. Sauté garlic and onions. Add pork and cook until browned. Add liver and tomato sauce. Add bell peppers and soy sauce. Simmer until meat is tender."
"Beef, potatoes, carrots, onions, garlic, tomato sauce, soy sauce","Kaldereta","Cut beef into cubes. Sauté garlic and onions. Add beef and brown. Add tomato sauce and soy sauce. Add potatoes and carrots. Simmer until beef is tender."
"Pork shoulder, liver, soy sauce, vinegar, garlic, bay leaves, sugar","Humba","Cut pork into cubes. Marinate in soy sauce and vinegar. Sauté garlic. Add pork and liver. Add bay leaves and sugar. Simmer until pork is tender and sauce is thick."
"Milkfish, tomatoes, onions, garlic, ginger, tamarind, kangkong","Sinigang na Bangus","Clean milkfish and cut into steaks. Boil water with tamarind. Add tomatoes, onions, garlic, ginger. Add fish and simmer. Add kangkong leaves. Season with salt."
"Pork ribs, tamarind, tomatoes, onions, kangkong, radish, string beans","Sinigang na Baboy","Cut pork ribs into pieces. Boil water with tamarind. Add pork and simmer until tender. Add vegetables in order of cooking time. Add kangkong last. Season with salt."
"Shrimp, tamarind, tomatoes, onions, kangkong, radish, string beans","Sinigang na Hipon","Clean shrimp. Boil water with tamarind. Add tomatoes and onions. Add vegetables and simmer. Add shrimp last and cook until pink. Add kangkong. Season with salt."
"Beef short ribs, corn, cabbage, potatoes, onions, garlic, fish sauce","Nilaga","Cut beef into pieces. Boil beef with onions until tender. Add corn and potatoes. Add cabbage last. Season with fish sauce and salt. Serve hot with steamed rice."
"Pork, shrimp, tofu, kangkong, string beans, squash, bagoong","Dinengdeng","Cut pork into pieces and boil until tender. Add vegetables in order of cooking time. Add tofu and shrimp. Season with bagoong. Add kangkong last."
"Pork belly, blood, vinegar, onions, garlic, chili peppers, salt","Dinuguan","Cut pork belly into cubes. Sauté garlic and onions. Add pork and cook. Add blood and vinegar. Add chili peppers. Simmer until thick. Season with salt."
"Beef, onions, garlic, soy sauce, calamansi, pepper, cooking oil","Bistek Tagalog","Slice beef thinly. Marinate in soy sauce and calamansi. Sauté onions until soft. Set aside. Cook marinated beef in same pan. Return onions on top. Serve with rice."
"Pork belly, soy sauce, brown sugar, garlic, onions, bay leaves","Paksiw na Lechon","Cut lechon into pieces. Sauté garlic and onions. Add lechon pieces and brown. Add soy sauce, brown sugar, and bay leaves. Simmer until sauce is thick."
"Chicken, coconut milk, lemongrass, ginger, onions, garlic, chili peppers","Chicken Tinola","Cut chicken into pieces. Sauté garlic, onions, ginger. Add chicken and cook until browned. Add water and lemongrass. Add chili peppers and coconut milk. Simmer until chicken is tender."
"Fish, coconut milk, malunggay leaves, ginger, onions, garlic","Fish Tinola","Clean fish and cut into steaks. Sauté garlic, onions, ginger. Add fish and lightly fry. Add water and simmer. Add coconut milk and malunggay leaves. Season with salt."
"Pork belly, coconut milk, taro, string beans, squash, shrimp paste","Ginataang Baboy","Cut pork into cubes. Sauté garlic and onions. Add pork and brown. Add coconut milk and simmer. Add vegetables and shrimp paste. Cook until vegetables are tender."
"Fish, coconut milk, kangkong, okra, eggplant, squash, bagoong","Ginataang Isda","Clean fish and cut into pieces. Sauté garlic and onions. Add fish and lightly fry. Add coconut milk and vegetables. Season with bagoong. Simmer until fish is cooked."
"Pork shoulder, tomatoes, onions, garlic, potatoes, carrots, soy sauce","Afritada","Cut pork into cubes. Sauté garlic and onions. Add pork and brown. Add tomatoes and cook until soft. Add potatoes, carrots, and soy sauce. Simmer until meat is tender."
"Chicken, tomatoes, onions, garlic, potatoes, carrots, bell peppers","Chicken Afritada","Cut chicken into pieces. Sauté garlic and onions. Add chicken and cook until browned. Add tomatoes and cook until soft. Add vegetables. Simmer until chicken is tender."
"Pork belly, onions, garlic, soy sauce, vinegar, bay leaves, peppercorns","Paksiw na Baboy","Cut pork belly into cubes. Sauté garlic and onions. Add pork and brown. Add soy sauce, vinegar, bay leaves, and peppercorns. Simmer until pork is tender."
"Beef, onions, garlic, ginger, tomatoes, potatoes, fish sauce","Bulalo","Cut beef shank into pieces with marrow. Boil beef until tender. Add onions, garlic, ginger. Add tomatoes and potatoes. Season with fish sauce. Simmer until vegetables are cooked."
"Pork belly, coconut milk, green beans, eggplant, okra, squash","Ginataang Gulay","Cut pork into cubes. Sauté garlic and onions. Add pork and brown. Add coconut milk and simmer. Add vegetables in order of cooking time. Season with salt."
"Chicken, coconut milk, green papaya, chili leaves, ginger, onions","Chicken Ginataang Papaya","Cut chicken into pieces. Sauté garlic, onions, ginger. Add chicken and cook until browned. Add coconut milk and green papaya. Add chili leaves. Simmer until chicken is tender."
"Pork belly, coconut milk, banana heart, string beans, squash","Ginataang Puso ng Saging","Cut pork into cubes. Sauté garlic and onions. Add pork and brown. Add coconut milk and banana heart. Add string beans and squash. Simmer until vegetables are tender."
"Fish, coconut milk, green beans, eggplant, okra, kangkong","Ginataang Pakbet","Clean fish and cut into pieces. Sauté garlic and onions. Add fish and lightly fry. Add coconut milk and hard vegetables first. Add kangkong last. Season with salt."
"Pork belly, coconut milk, sitaw, kalabasa, talong, okra","Ginataang Sitaw at Kalabasa","Cut pork into cubes. Sauté garlic and onions. Add pork and brown. Add coconut milk and sitaw. Add kalabasa, talong, and okra. Simmer until vegetables are tender."
"Chicken, coconut milk, green beans, squash, eggplant, malunggay","Ginataang Manok","Cut chicken into pieces. Sauté garlic and onions. Add chicken and cook until browned. Add coconut milk and vegetables. Add malunggay leaves last. Simmer until chicken is tender."
"Pork belly, coconut milk, kangkong, sitaw, kalabasa, bagoong","Ginataang Kangkong","Cut pork into cubes. Sauté garlic and onions. Add pork and brown. Add coconut milk, sitaw, and kalabasa. Add kangkong last. Season with bagoong."
"Fish, coconut milk, kamote tops, squash, string beans, onions","Ginataang Kamote Tops","Clean fish and cut into pieces. Sauté garlic and onions. Add fish and lightly fry. Add coconut milk, squash, and string beans. Add kamote tops last. Season with salt."
"Pork belly, coconut milk, upo, sitaw, kalabasa, malunggay","Ginataang Upo","Cut pork into cubes. Sauté garlic and onions. Add pork and brown. Add coconut milk and upo. Add sitaw and kalabasa. Add malunggay leaves last. Season with salt."
"Shrimp, coconut milk, kangkong, squash, string beans, onions","Ginataang Hipon","Clean shrimp. Sauté garlic and onions. Add coconut milk, squash, and string beans. Add shrimp and cook until pink. Add kangkong last. Season with salt."
"Pork belly, coconut milk, labong, sitaw, kalabasa, chili","Ginataang Labong","Cut pork into cubes. Sauté garlic and onions. Add pork and brown. Add coconut milk and labong. Add sitaw, kalabasa, and chili. Simmer until vegetables are tender."
"Fish, coconut milk, alugbati, squash, string beans, ginger","Ginataang Alugbati","Clean fish and cut into pieces. Sauté garlic, onions, ginger. Add fish and lightly fry. Add coconut milk, squash, and string beans. Add alugbati last. Season with salt."
"Pork belly, coconut milk, saluyot, squash, okra, bagoong","Ginataang Saluyot","Cut pork into cubes. Sauté garlic and onions. Add pork and brown. Add coconut milk, squash, and okra. Add saluyot last. Season with bagoong."
"Chicken, coconut milk, papaya leaves, ginger, onions, chili","Ginataang Dahon ng Papaya","Cut chicken into pieces. Sauté garlic, onions, ginger. Add chicken and cook until browned. Add coconut milk and chili. Add papaya leaves last. Simmer until chicken is tender."
"Pork belly, coconut milk, sweet potato leaves, squash, string beans","Ginataang Talbos ng Kamote","Cut pork into cubes. Sauté garlic and onions. Add pork and brown. Add coconut milk, squash, and string beans. Add sweet potato leaves last. Season with salt."
"Fish, coconut milk, water spinach, squash, eggplant, onions","Ginataang Kangkong","Clean fish and cut into pieces. Sauté garlic and onions. Add fish and lightly fry. Add coconut milk, squash, and eggplant. Add water spinach last. Season with salt."
"Pork, soy sauce, vinegar, garlic, onions, potatoes, eggs","Adobong Patatas","Cut pork into cubes. Marinate in soy sauce and vinegar. Sauté garlic and onions. Add pork and cook. Add potatoes and hard-boiled eggs. Simmer until tender."
"Chicken wings, soy sauce, vinegar, garlic, bay leaves, peppercorns","Adobong Pakpak","Marinate chicken wings in soy sauce and vinegar. Sauté garlic until golden. Add chicken wings and marinate. Add bay leaves and peppercorns. Simmer until wings are tender."
"Pork belly, soy sauce, vinegar, garlic, tofu, bay leaves","Adobong Tokwa","Cut pork belly and tofu into cubes. Marinate pork in soy sauce and vinegar. Sauté garlic. Add pork and cook. Add tofu and bay leaves. Simmer until pork is tender."
"Squid, soy sauce, vinegar, garlic, onions, bay leaves","Adobong Pusit","Clean squid and cut into rings. Marinate in soy sauce and vinegar. Sauté garlic and onions. Add squid and cook quickly. Add bay leaves. Simmer briefly to avoid tough squid."
"Kangkong, soy sauce, vinegar, garlic, onions, tomatoes","Adobong Kangkong","Clean kangkong and cut into pieces. Sauté garlic, onions, tomatoes. Add kangkong and stir-fry. Add soy sauce and vinegar. Cook until kangkong is wilted but still crisp."
"Eggplant, soy sauce, vinegar, garlic, onions, tomatoes","Adobong Talong","Slice eggplant and salt to remove bitterness. Rinse and drain. Sauté garlic, onions, tomatoes. Add eggplant and cook until soft. Add soy sauce and vinegar. Simmer until flavors blend."
"String beans, soy sauce, vinegar, garlic, onions, pork","Adobong Sitaw","Cut string beans into pieces. Cut pork into strips. Sauté garlic and onions. Add pork and cook. Add string beans, soy sauce, and vinegar. Simmer until beans are tender."
"Okra, soy sauce, vinegar, garlic, onions, tomatoes","Adobong Okra","Slice okra into pieces. Sauté garlic, onions, tomatoes. Add okra and cook until tender. Add soy sauce and vinegar. Simmer until flavors are well combined."
"Bitter melon, soy sauce, vinegar, garlic, onions, pork","Adobong Ampalaya","Slice bitter melon and salt to remove bitterness. Rinse and drain. Cut pork into strips. Sauté garlic and onions. Add pork and cook. Add bitter melon, soy sauce, and vinegar."
"Mushrooms, soy sauce, vinegar, garlic, onions, oyster sauce","Adobong Kabute","Slice mushrooms. Sauté garlic and onions. Add mushrooms and cook until soft. Add soy sauce, vinegar, and oyster sauce. Simmer until mushrooms absorb flavors."
"Chicken liver, soy sauce, vinegar, garlic, onions, bay leaves","Adobong Atay","Clean chicken liver and cut into pieces. Marinate in soy sauce and vinegar. Sauté garlic and onions. Add liver and cook quickly. Add bay leaves. Simmer briefly."
"Pork belly, miso paste, onions, garlic, eggplant, okra","Pinakbet","Cut pork belly into cubes. Sauté garlic and onions. Add pork and cook until browned. Add hard vegetables first, then soft ones. Add miso paste and mix well. Simmer until vegetables are tender."
"Fish, tomatoes, onions, garlic, ginger, eggplant, okra","Pakbet na Isda","Clean fish and cut into pieces. Sauté garlic, onions, ginger. Add fish and lightly fry. Add tomatoes and cook until soft. Add vegetables and simmer until fish is cooked."
"Pork, shrimp paste, squash, eggplant, okra, string beans","Pakbet Tagalog","Cut pork into cubes. Sauté garlic and onions. Add pork and cook until browned. Add vegetables in order of cooking time. Season with shrimp paste. Simmer until vegetables are tender."
"Chicken, ginger, onions, garlic, green papaya, chili leaves","Tinolang Manok","Cut chicken into pieces. Sauté garlic, onions, ginger. Add chicken and cook until browned. Add water and bring to boil. Add green papaya and chili leaves. Simmer until chicken is tender."
"Fish, ginger, onions, garlic, green papaya, malunggay","Tinolang Isda","Clean fish and cut into steaks. Sauté garlic, onions, ginger. Add fish and lightly fry. Add water and green papaya. Add malunggay leaves last. Simmer until fish is cooked."
"Pork, ginger, onions, garlic, green papaya, chili leaves","Tinolang Baboy","Cut pork into cubes. Sauté garlic, onions, ginger. Add pork and cook until browned. Add water and bring to boil. Add green papaya and chili leaves. Simmer until pork is tender."
"Chicken, lemongrass, ginger, onions, garlic, green papaya","Tinolang Manok sa Tanglad","Cut chicken into pieces. Sauté garlic, onions, ginger. Add chicken and cook until browned. Add water and lemongrass. Add green papaya. Simmer until chicken is tender."
"Fish, lemongrass, ginger, onions, garlic, upo, malunggay","Tinolang Isda sa Tanglad","Clean fish and cut into steaks. Sauté garlic, onions, ginger. Add fish and lightly fry. Add water and lemongrass. Add upo and malunggay. Simmer until fish is cooked."
"Pork ribs, corn, cabbage, potatoes, onions, peppercorns","Nilagang Baboy","Cut pork ribs into pieces. Boil pork with onions and peppercorns until tender. Add corn and potatoes. Add cabbage last and cook until soft. Season with salt."
"Beef, corn, cabbage, potatoes, onions, peppercorns, fish sauce","Nilagang Baka","Cut beef into pieces. Boil beef with onions and peppercorns until tender. Add corn and potatoes. Add cabbage last. Season with fish sauce and salt."
"Chicken, corn, cabbage, potatoes, onions, ginger, fish sauce","Nilagang Manok","Cut chicken into pieces. Boil chicken with onions and ginger until tender. Add corn and potatoes. Add cabbage last and cook until soft. Season with fish sauce."
"Fish, tomatoes, onions, garlic, ginger, cabbage, pechay","Nilagang Isda","Clean fish and cut into steaks. Boil water with ginger. Add fish and cook until almost done. Add tomatoes, onions, garlic. Add cabbage and pechay last. Season with salt."
"Pork belly, tamarind, kangkong, radish, string beans, tomatoes","Sinigang na Liempo","Cut pork belly into pieces. Boil water with tamarind. Add pork and simmer until tender. Add tomatoes and onions. Add vegetables in order of cooking time. Add kangkong last."
"Fish head, tamarind, kangkong, radish, eggplant, tomatoes","Sinigang na Ulo ng Isda","Clean fish head. Boil water with tamarind. Add fish head and simmer. Add tomatoes and onions. Add vegetables in order of cooking time. Add kangkong last. Season with salt."
"Spare ribs, tamarind, kangkong, radish, string beans, tomatoes","Sinigang na Tadyang","Cut spare ribs into pieces. Boil water with tamarind. Add ribs and simmer until tender. Add tomatoes and onions. Add vegetables in order of cooking time. Add kangkong last."
"Chicken, tamarind, kangkong, radish, string beans, tomatoes","Sinigang na Manok","Cut chicken into pieces. Boil water with tamarind. Add chicken and simmer until tender. Add tomatoes and onions. Add vegetables in order of cooking time. Add kangkong last."
"Salmon belly, tamarind, kangkong, radish, eggplant, tomatoes","Sinigang na Salmon","Cut salmon belly into pieces. Boil water with tamarind. Add salmon and cook until flaky. Add tomatoes and onions. Add vegetables in order of cooking time. Add kangkong last."
"Pork belly, mung beans, coconut milk, shrimp, squash","Ginisang Munggo","Soak mung beans overnight. Boil until soft. Sauté garlic, onions, pork. Add cooked mung beans and coconut milk. Add shrimp and squash. Simmer until flavors blend."
"Fish, mung beans, malunggay, squash, onions, garlic","Munggo with Fish","Soak mung beans overnight. Boil until soft. Sauté garlic and onions. Add fish and lightly fry. Add cooked mung beans and squash. Add malunggay last."
"Pork, mung beans, ampalaya, squash, onions, garlic","Munggo with Ampalaya","Soak mung beans overnight. Boil until soft. Sauté garlic, onions, pork. Add cooked mung beans and squash. Add sliced ampalaya. Simmer until vegetables are tender."
"Dried fish, mung beans, malunggay, squash, onions, garlic","Munggo with Dried Fish","Soak mung beans overnight. Boil until soft. Sauté garlic and onions. Add dried fish and fry. Add cooked mung beans and squash. Add malunggay leaves last."
"Pork belly, mung beans, kangkong, squash, shrimp, bagoong","Munggo Guisado","Soak mung beans overnight. Boil until soft. Sauté garlic, onions, pork. Add cooked mung beans and squash. Add shrimp and kangkong. Season with bagoong."
"Fish, rice, ginger, onions, garlic, salt, pepper","Lugaw na Isda","Clean fish and boil until tender. Remove fish and set aside. Add rice to fish broth and cook until porridge consistency. Add ginger, onions, garlic. Return fish to pot."
"Chicken, rice, ginger, onions, garlic, fish sauce, pepper","Lugaw na Manok","Cut chicken into pieces and boil until tender. Remove chicken and set aside. Add rice to chicken broth and cook until porridge consistency. Add ginger, onions, garlic. Return chicken."
"Pork, rice, ginger, onions, garlic, fish sauce, pepper","Lugaw na Baboy","Cut pork into pieces and boil until tender. Remove pork and set aside. Add rice to pork broth and cook until porridge consistency. Add ginger, onions, garlic. Return pork."
"Beef, rice, ginger, onions, garlic, fish sauce, pepper","Lugaw na Baka","Cut beef into pieces and boil until tender. Remove beef and set aside. Add rice to beef broth and cook until porridge consistency. Add ginger, onions, garlic. Return beef."
"Chicken, rice, ginger, onions, garlic, hard-boiled eggs","Arroz Caldo","Cut chicken into pieces and boil until tender. Remove chicken and shred. Add rice to chicken broth and cook until porridge consistency. Add ginger, onions, garlic. Return chicken and top with eggs."
"Pork belly, soy sauce, sugar, garlic, onions, bay leaves","Humba Bisaya","Cut pork belly into cubes. Marinate in soy sauce. Sauté garlic and onions. Add pork and cook until browned. Add sugar and bay leaves. Simmer until pork is tender and sauce is thick."
"Chicken, soy sauce, vinegar, garlic, banana, pineapple","Chicken Humba","Cut chicken into pieces. Marinate in soy sauce and vinegar. Sauté garlic. Add chicken and cook until browned. Add banana and pineapple. Simmer until chicken is tender."
"Pork belly, tausi, garlic, onions, ginger, soy sauce","Humba with Tausi","Cut pork belly into cubes. Sauté garlic, onions, ginger. Add pork and cook until browned. Add tausi and soy sauce. Simmer until pork is tender and sauce is thick."
"Fish, tamarind, tomatoes, onions, garlic, kangkong, radish","Sinigang na Bangus sa Miso","Clean fish and cut into steaks. Boil water with tamarind. Add fish and cook until almost done. Add tomatoes, onions, garlic. Add vegetables and miso paste. Add kangkong last."
"Pork ribs, tamarind, tomatoes, onions, kangkong, miso paste","Sinigang na Baboy sa Miso","Cut pork ribs into pieces. Boil water with tamarind. Add pork and simmer until tender. Add tomatoes and onions. Add vegetables and miso paste. Add kangkong last."
"Shrimp, tamarind, tomatoes, onions, kangkong, miso paste","Sinigang na Hipon sa Miso","Clean shrimp. Boil water with tamarind. Add tomatoes and onions. Add vegetables and miso paste. Add shrimp and cook until pink. Add kangkong last."
"Chicken, coconut milk, curry powder, potatoes, carrots, onions","Chicken Curry","Cut chicken into pieces. Sauté garlic and onions. Add chicken and cook until browned. Add curry powder and coconut milk. Add potatoes and carrots. Simmer until chicken is tender."
"Pork, coconut milk, curry powder, potatoes, string beans, onions","Pork Curry","Cut pork into cubes. Sauté garlic and onions. Add pork and cook until browned. Add curry powder and coconut milk. Add potatoes and string beans. Simmer until pork is tender."
"Fish, coconut milk, curry powder, eggplant, okra, onions","Fish Curry","Clean fish and cut into pieces. Sauté garlic and onions. Add fish and lightly fry. Add curry powder and coconut milk. Add eggplant and okra. Simmer until fish is cooked."
"Vegetables, coconut milk, curry powder, tofu, onions, garlic","Vegetable Curry","Cut vegetables into pieces. Sauté garlic and onions. Add hard vegetables first. Add curry powder and coconut milk. Add tofu and soft vegetables. Simmer until vegetables are tender."
"Beef, coconut milk, curry powder, potatoes, carrots, onions","Beef Curry","Cut beef into cubes. Sauté garlic and onions. Add beef and cook until browned. Add curry powder and coconut milk. Add potatoes and carrots. Simmer until beef is tender."
"Pork belly, coconut milk, banana heart, chili peppers, onions","Ginataang Puso ng Saging na Maanghang","Cut pork belly into cubes. Sauté garlic and onions. Add pork and cook until browned. Add coconut milk and banana heart. Add chili peppers. Simmer until vegetables are tender."
"Fish, coconut milk, green beans, chili peppers, onions, garlic","Ginataang Sitaw na Maanghang","Clean fish and cut into pieces. Sauté garlic and onions. Add fish and lightly fry. Add coconut milk and green beans. Add chili peppers. Simmer until fish is cooked."
"Pork, coconut milk, squash, chili peppers, shrimp paste, onions","Ginataang Kalabasa na Maanghang","Cut pork into cubes. Sauté garlic and onions. Add pork and cook until browned. Add coconut milk and squash. Add chili peppers and shrimp paste. Simmer until vegetables are tender."
"Chicken, coconut milk, kangkong, chili peppers, onions, garlic","Ginataang Kangkong na Maanghang","Cut chicken into pieces. Sauté garlic and onions. Add chicken and cook until browned. Add coconut milk and chili peppers. Add kangkong last. Simmer until chicken is tender."
"Fish, coconut milk, eggplant, chili peppers, onions, garlic","Ginataang Talong na Maanghang","Clean fish and cut into pieces. Sauté garlic and onions. Add fish and lightly fry. Add coconut milk and eggplant. Add chili peppers. Simmer until fish is cooked."
"Pork belly, coconut milk, bitter melon, chili peppers, onions","Ginataang Ampalaya na Maanghang","Cut pork belly into cubes. Sauté garlic and onions. Add pork and cook until browned. Add coconut milk and bitter melon. Add chili peppers. Simmer until vegetables are tender."
"Shrimp, coconut milk, okra, chili peppers, onions, garlic","Ginataang Okra na Maanghang","Clean shrimp. Sauté garlic and onions. Add coconut milk and okra. Add chili peppers. Add shrimp and cook until pink. Simmer until okra is tender."
"Fish, coconut milk, labong, chili peppers, onions, garlic","Ginataang Labong na Maanghang","Clean fish and cut into pieces. Sauté garlic and onions. Add fish and lightly fry. Add coconut milk and labong. Add chili peppers. Simmer until fish is cooked."
"Pork, coconut milk, upo, chili peppers, malunggay, onions","Ginataang Upo na Maanghang","Cut pork into cubes. Sauté garlic and onions. Add pork and cook until browned. Add coconut milk and upo. Add chili peppers and malunggay. Simmer until vegetables are tender."
"Crabs, coconut milk, ginger, onions, garlic, chili peppers","Ginataang Alimasag","Sauté garlic, onions, and ginger. Add crabs and cook until they change color. Pour in coconut milk and chili peppers. Simmer until the crabs are cooked through and the sauce has thickened. Season with salt."
"Bullet tuna, coconut milk, ginger, garlic, onions, vinegar, chili peppers","Ginataang Tulingan","Sauté ginger, garlic, and onions. Arrange fish in a pot. Pour in coconut milk, vinegar, and chili peppers. Simmer gently until the fish is cooked and the sauce is thick. Do not stir while simmering to prevent the fish from breaking apart."
"Mung beans, coconut milk, pork, shrimp, malunggay leaves, onions, garlic, ginger","Ginataang Monggo","Boil mung beans until soft. Sauté garlic, onions, and ginger. Add pork and cook until browned. Add the boiled mung beans, shrimp, and coconut milk. Simmer until the sauce thickens. Stir in malunggay leaves and cook until wilted. Season with salt or fish sauce."
"Stingray, coconut milk, ginger, onions, garlic, chili peppers, vinegar","Ginataang Pagi","Clean stingray and cut into pieces. Sauté ginger, onions, and garlic. Place stingray in the pot and add coconut milk, vinegar, and chili peppers. Simmer until the stingray is tender and the sauce is rich and thick."
"Unripe jackfruit, coconut milk, pork or shrimp, chili peppers, onions, garlic, ginger, shrimp paste","Ginataang Langka","Boil unripe jackfruit until tender. Sauté garlic, onions, and ginger. Add pork or shrimp and cook. Add the boiled jackfruit, coconut milk, shrimp paste, and chili peppers. Simmer until the sauce is thick."
"Pork, vinegar, garlic, bay leaves, peppercorns, salt","Adobong Puti","Cut pork into cubes. Combine with vinegar, crushed garlic, bay leaves, peppercorns, and salt. Bring to a boil, then lower heat and simmer until the pork is tender and the sauce reduces."
"Peanuts, garlic, salt, peppercorns, cooking oil","Adobong Mani","Heat oil and fry whole garlic cloves until golden brown and crispy. Add peanuts and cook over low heat, stirring constantly, until crunchy. Season with salt and peppercorns."
"Chicken or pork, soy sauce, vinegar, garlic, bay leaves, peppercorns, pineapple chunks, pineapple juice","Adobong Pinya","Marinate chicken/pork in soy sauce and vinegar. Sauté garlic, add the meat, and brown. Add the marinate, bay leaves, peppercorns, pineapple juice, and pineapple chunks. Simmer until the meat is tender."
"Kangkong (water spinach), tofu, soy sauce, vinegar, garlic, onions, brown sugar","Adobong Kangkong with Tofu","Fry tofu until golden. Sauté garlic and onions. Add kangkong and stir-fry. Pour in soy sauce and vinegar. Add a pinch of sugar. Add the fried tofu and mix gently. Cook until the kangkong is just wilted."
"Beef cubes, tamarind, tomatoes, onions, radish, kangkong, string beans","Sinigang na Baka","Boil beef until tender. Add tamarind, tomatoes, and onions. Simmer until the flavors meld. Add the hard vegetables first, followed by the softer ones. Add kangkong last. Season with salt or fish sauce."
"Roasted pig (lechon) pieces, tamarind, tomatoes, onions, kangkong, radish","Sinigang na Lechon","Boil water with tamarind. Add tomatoes, onions, and lechon pieces. Simmer briefly. Add vegetables in order of cooking time, with kangkong added last. Season to taste."
"Catfish, tamarind, tomatoes, onions, ginger, mustard greens, chili peppers","Sinigang na Kanduli","Clean catfish and cut into pieces. Boil water with tamarind, tomatoes, onions, and ginger. Add catfish and simmer until cooked. Add mustard greens and chili peppers. Season with salt."
"Beef shank, tomato sauce, cabbage, potatoes, carrots, saba banana, chickpeas","Pochero","Boil beef shank until tender. Sauté onions and garlic. Add beef, tomato sauce, and broth from the boiled beef. Add potatoes, carrots, saba banana, and chickpeas. Simmer until all vegetables are tender."
"Grilled pig face, pig brain or mayonnaise, vinegar, red onions, chili peppers, calamansi juice","Dinakdakan","Grill or broil pig face until crispy. Chop into small pieces. Mix with boiled pig brain (or mayonnaise), vinegar, red onions, chili peppers, and calamansi juice. Season with salt and pepper."
"Pork mask, pig ears, onions, calamansi juice, chili peppers, soy sauce","Sisig","Boil pork mask and ears until tender. Grill or broil until crispy. Chop into fine pieces. Sauté onions and chili peppers. Add the chopped pork and cook until sizzling. Season with calamansi juice, soy sauce, and pepper. Serve on a sizzling plate."
"Pig lungs and heart, carrots, potatoes, onions, garlic, vinegar, tomato sauce, chili","Bopis","Boil pig lungs and heart until tender. Chop into small pieces. Sauté garlic, onions, and chili. Add the chopped innards and cook. Add vinegar and tomato sauce. Add potatoes and carrots and simmer until tender."
"Pork loin, liver, carrots, potatoes, bell peppers, green peas, vinegar, soy sauce, bay leaf","Igado","Cut pork and liver into strips. Sauté garlic and onions. Add pork and cook until browned. Add liver, carrots, potatoes, and bell peppers. Pour in vinegar and soy sauce. Add bay leaf and simmer until the meat and vegetables are tender."
"Goat or beef innards, ginger, garlic, onions, chili, bile, tamarind","Papaitan","Clean innards thoroughly. Boil with ginger, garlic, and onions until tender. Add tamarind and chili. Season with bile for a bitter taste, if desired. Serve hot."
"Okra, eggplant, squash, string beans, bitter melon, bagoong (shrimp paste), crispy pork belly (lechon kawali)","Pinakbet with Lechon Kawali","Sauté onions and garlic. Add water and bagoong. Add hard vegetables (squash) first, then soft vegetables (okra, eggplant, bitter melon, string beans). Simmer until tender. Top with crispy lechon kawali before serving."
"Rice noodles, chicken, pork, shrimp, cabbage, carrots, soy sauce, calamansi","Pancit","Soak rice noodles until soft. Sauté garlic, onions, chicken, pork, and shrimp. Add vegetables and stir-fry. Pour in soy sauce and broth. Add the noodles and mix until cooked. Serve with calamansi."
"Ground pork, carrots, cabbage, onions, garlic, soy sauce, lumpia wrappers","Lumpia","Mix ground pork with shredded carrots, cabbage, minced onions, and garlic. Season with soy sauce. Wrap the mixture in lumpia wrappers. Fry until golden brown and crispy."